Match,FirstPlayer,SecondPlayer,Game,Winner,Fair,FirstFighter,FirstFighter2,FirstFighter3,SecondFighter,SecondFighter2,SecondFighter3
3,Pobeditel,Vera,Mortal Kombat 11,Pobeditel,true,Raiden,,,Noob Saibot,,,
4,Vera,Pobeditel,Mortal Kombat 11,Pobeditel,true,Baraka,,,Sonya,,,
5,Pobeditel,FallenGameR,Mortal Kombat 11,FallenGameR,false,Jax Briggs,,,Jax Briggs,,,
6,FallenGameR,Pobeditel,Mortal Kombat 11,FallenGameR,false,Kano,,,Kung Lao,,,
7,Pobeditel,Vera,Mortal Kombat 11,Pobeditel,true,Kano,,,Baraka,,,
8,Pobeditel,FallenGameR,Mortal Kombat 11,FallenGameR,false,The Kollector,,,Kung Lao,,,
9,Vera,FallenGameR,Dead or Alive 6,FallenGameR,true,Hayate,,,Christie,,,
10,FallenGameR,Vera,Dead or Alive 6,FallenGameR,true,Ayane,,,Kasumi,,,
11,FallenGameR,Pobeditel,Dead or Alive 6,Pobeditel,false,Kokoro,,,Hayabusa,,,
12,Vera,Pobeditel,Dead or Alive 6,Pobeditel,true,Ayane,,,Diego,,,
13,Vera,FallenGameR,Dead or Alive 6,Vera,true,La Mariposa,,,Leifang,,,
14,FallenGameR,Vera,Dead or Alive 6,FallenGameR,true,Jann Lee,,,Tina,,,
15,FallenGameR,Pobeditel,Dead or Alive 6,FallenGameR,true,Tina,,,Kasumi,,,
16,Pobeditel,Vera,Dead or Alive 6,Pobeditel,true,Mila,,,Hayate,,,
17,Vera,Pobeditel,Dead or Alive 6,Pobeditel,true,Phase-4,,,NiCO,,,
18,Pobeditel,FallenGameR,Dead or Alive 6,Pobeditel,true,Zack,,,Honoka,,,
19,Vera,FallenGameR,Soul Calibur 6,FallenGameR,true,Cervantes,,,Ivy,,,
20,FallenGameR,Vera,Soul Calibur 6,FallenGameR,true,Yoshimitsu,,,Tira,,,
21,FallenGameR,Pobeditel,Soul Calibur 6,Pobeditel,false,Xianghua,,,Xianghua,,,
22,Vera,Pobeditel,Soul Calibur 6,Pobeditel,true,Tira,,,Inferno,,,
23,Pobeditel,Vera,Soul Calibur 6,Pobeditel,true,Astaroth,,,Yoshimitsu,,,
24,Pobeditel,FallenGameR,Soul Calibur 6,FallenGameR,true,Nightmare,,,Maxi,,,
25,Pobeditel,FallenGameR,Soul Calibur 6,FallenGameR,false,Ivy,,,Inferno,,,
26,Pobeditel,Vera,Soul Calibur 6,Pobeditel,true,Talim,,,Xianghua,,,
27,Vera,FallenGameR,Soul Calibur 6,FallenGameR,false,Groh,,,Maxi,,,
28,FallenGameR,Vera,Soul Calibur 6,FallenGameR,true,Groh,,,Siegfried,,,
29,FallenGameR,Pobeditel,Soul Calibur 6,FallenGameR,true,Seong Mi-Na,,,Groh,,,
30,Vera,Pobeditel,Soul Calibur 6,Vera,true,Azwel,,,Seong Mi-Na,,,
31,FallenGameR,Pobeditel,Soul Calibur 6,FallenGameR,false,Ivy,,,Voldo,,,
32,FallenGameR,Vera,Soul Calibur 6,FallenGameR,true,2B,,,Cervantes,,,
33,Pobeditel,Vera,Soul Calibur 6,Vera,true,Zasalamel,,,Azwel,,,
34,Vera,Pobeditel,Soul Calibur 6,Vera,true,Talim,,,Cervantes,,,
35,Vera,FallenGameR,Soul Calibur 6,FallenGameR,true,Raphael,,,Siegfried,,,
36,Pobeditel,FallenGameR,Soul Calibur 6,FallenGameR,true,Astaroth,,,Zasalamel,,,
37,Vera,Pobeditel,Soul Calibur 6,Pobeditel,true,Siegfried,,,Mitsurugi,,,
38,FallenGameR,Pobeditel,Soul Calibur 6,FallenGameR,true,Sophitia,,,Ivy,,,
39,Vera,FallenGameR,Soul Calibur 6,FallenGameR,true,Yoshimitsu,,,Siegfried,,,
40,Pobeditel,Vera,Soul Calibur 6,Pobeditel,true,Mitsurugi,,,Taki,,,
41,Pobeditel,FallenGameR,Soul Calibur 6,Pobeditel,true,2B,,,Azwel,,,
42,FallenGameR,Vera,Soul Calibur 6,Vera,true,Tira,,,Nightmare,,,
43,FallenGameR,Pobeditel,Soul Calibur 6,Pobeditel,true,Maxi,,,Raphael,,,
